svfn,ar,staerd,leiguverd,kaupverd,fasteignamat
0000,2011,50-59,93141.5,14612500,12250
0000,2011,60-69,99743,16250000,13900
0000,2011,70-79,110000,18500000,15600
0000,2011,80-89,120000,19950000,16900
0000,2011,90-99,130000,22000000,18425
0000,2011,100-109,135000,23975000,19625
0000,2011,110-150,142000,27000000,22350
0000,2012,50-59,100000,15475000,13175
0000,2012,60-69,110000,17700000,14700
0000,2012,70-79,129500,19100000,16500
0000,2012,80-89,130000,21500000,18050
0000,2012,90-99,140000,23200000,19300
0000,2012,100-109,150000,24650000,20900
0000,2012,110-150,150000,28850000,23950
0000,2013,50-59,110000,17000000,14400
0000,2013,60-69,115000,18500000,15950
0000,2013,70-79,140000,21225000,17550
0000,2013,80-89,150000,23200000,19450
0000,2013,90-99,150000,24800000,21000
0000,2013,100-109,160000,27000000,22900
0000,2013,110-150,168000,30500000,25650
0000,2014,50-59,120000,19700000,15300
0000,2014,60-69,128000,21837000,16700
0000,2014,70-79,145000,24000000,18750
0000,2014,80-89,155000,26000000,20900
0000,2014,90-99,160000,27500000,21950
0000,2014,100-109,175000,28750000,23650
0000,2014,110-150,185000,33900000,27700
0000,2015,50-59,120000,22500000,17400
0000,2015,60-69,140000,23750000,18950
0000,2015,70-79,153000,26500000,21500
0000,2015,80-89,165000,27950000,23000
0000,2015,90-99,175000,28450000,24050
0000,2015,100-109,185000,31800000,26850
0000,2015,110-150,200000,36500000,30850
0000,2016,50-59,130000,25000000,19200
0000,2016,60-69,145000,26750000,20825
0000,2016,70-79,167500,29500000,23475
0000,2016,80-89,172000,31000000,25050
0000,2016,90-99,186000,33000000,27200
0000,2016,100-109,190000,34850000,29000
0000,2016,110-150,210000,39800000,33800
0000,2017,50-59,160000,29900000,22500
0000,2017,60-69,170000,32000000,23775
0000,2017,70-79,185000,34550000,26200
0000,2017,80-89,199000,37000000,28500
0000,2017,90-99,200000,39000000,30300
0000,2017,100-109,210000,41450000,32450
0000,2017,110-150,240000,48000000,37400
0000,2018,50-59,174000,31500000,26500
0000,2018,60-69,180000,33372000,27700
0000,2018,70-79,200000,35700000,31325
0000,2018,80-89,220000,38500000,33100
0000,2018,90-99,220000,40900000,35450
0000,2018,100-109,235000,43500000,38300
0000,2018,110-150,250000,49500000,43100
0000,2019,50-59,180000,31007000,28975
0000,2019,60-69,190000,34500000,31375
0000,2019,70-79,210000,37000000,34525
0000,2019,80-89,220000,40300000,36800
0000,2019,90-99,230000,42000000,38550
0000,2019,100-109,248000,44250000,40850
0000,2019,110-150,256000,51500000,46650
0000,2020,50-59,180000,35000000,29900
0000,2020,60-69,190000,37200000,33900
0000,2020,70-79,210000,40500000,36550
0000,2020,80-89,215000,42950000,39250
0000,2020,90-99,230000,44700000,40925
0000,2020,100-109,240000,48350000,43875
0000,2020,110-150,250000,55500000,49475
0000,2021,50-59,180000,36900000,30825
0000,2021,60-69,190000,40000000,34225
0000,2021,70-79,210000,44900000,37500
0000,2021,80-89,220000,48000000,40150
0000,2021,90-99,230000,50100000,42900
0000,2021,100-109,245000,55300000,45525
0000,2021,110-150,255000,63500000,51850
0000,2022,50-59,190000,44750000,33100
0000,2022,60-69,200000,47000000,36350
0000,2022,70-79,220000,53500000,41800
0000,2022,80-89,235000,55300000,42550
0000,2022,90-99,240000,59000000,47350
0000,2022,100-109,260000,64500000,49100
0000,2022,110-150,267000,74900000,55900
1000,2011,50-59,90000,13500000,11850
1000,2011,60-69,102750,16000000,13525
1000,2011,70-79,115000,18000000,15600
1000,2011,80-89,120000,19700000,16550
1000,2011,90-99,130000,22500000,19025
1000,2011,100-109,132500,23500000,20050
1000,2011,110-150,150000,28500000,23000
1000,2012,50-59,100000,15900000,12000
1000,2012,60-69,105000,17180000,14250
1000,2012,70-79,120250,20100000,16250
1000,2012,80-89,135000,22000000,17650
1000,2012,90-99,140000,24500000,19850
1000,2012,100-109,145000,25876000,20750
1000,2012,110-150,165000,31000000,23900
1000,2013,50-59,112500,16600000,13650
1000,2013,60-69,125000,19000000,15350
1000,2013,70-79,130000,21500000,17450
1000,2013,80-89,142500,24500000,19500
1000,2013,90-99,150000,26325000,21800
1000,2013,100-109,162500,27950000,23250
1000,2013,110-150,180000,32500000,26375
1000,2014,50-59,120000,18500000,13800
1000,2014,60-69,126500,21571500,16575
1000,2014,70-79,150000,24500000,18350
1000,2014,80-89,150000,25200000,20000
1000,2014,90-99,168250,28000000,23950
1000,2014,100-109,170000,30650000,25175
1000,2014,110-150,190000,36000000,28425
1000,2015,50-59,120000,19500000,14800
1000,2015,60-69,140000,23200000,18000
1000,2015,70-79,154811.5,25650000,20825
1000,2015,80-89,170000,28250000,23300
1000,2015,90-99,176143.5,31100000,26175
1000,2015,100-109,180000,33700000,28775
1000,2015,110-150,200000,38500000,32700
1000,2016,50-59,140000,22550000,17275
1000,2016,60-69,150000,27200000,20200
1000,2016,70-79,160000,28950000,22450
1000,2016,80-89,180000,31500000,24650
1000,2016,90-99,189000,34500000,28625
1000,2016,100-109,190000,36200000,31100
1000,2016,110-150,220000,42000000,35350
1000,2017,50-59,150000,28950000,19725
1000,2017,60-69,172000,32000000,22450
1000,2017,70-79,180000,34600000,25775
1000,2017,80-89,190000,38550000,28200
1000,2017,90-99,205000,40050000,30875
1000,2017,100-109,217000,43900000,33150
1000,2017,110-150,232000,51400000,38250
1000,2018,50-59,165000,30000000,23950
1000,2018,60-69,182000,33650000,26950
1000,2018,70-79,200000,37900000,29925
1000,2018,80-89,210000,40500000,32350
1000,2018,90-99,227500,43100000,35475
1000,2018,100-109,230000,45900000,37800
1000,2018,110-150,250000,55000000,43000
1000,2019,50-59,175000,33650000,25350
1000,2019,60-69,198500,36800000,30325
1000,2019,70-79,210000,39800000,33450
1000,2019,80-89,225000,42000000,35650
1000,2019,90-99,230000,44750000,38825
1000,2019,100-109,240000,48000000,41850
1000,2019,110-150,260000,54500000,47600
1000,2020,50-59,170000,35150000,29900
1000,2020,60-69,180000,37500000,33050
1000,2020,70-79,200000,41950000,35975
1000,2020,80-89,220000,44700000,39500
1000,2020,90-99,235000,47200000,42775
1000,2020,100-109,250000,52000000,45650
1000,2020,110-150,270000,60000000,51450
1000,2021,50-59,170000,41900000,27500
1000,2021,60-69,185000,42950000,32275
1000,2021,70-79,220000,47025000,35450
1000,2021,80-89,225000,53500000,38700
1000,2021,90-99,240000,54900000,43150
1000,2021,100-109,250000,57500000,46500
1000,2021,110-150,270000,67500000,53500
1000,2022,50-59,180000,43000000,31300
1000,2022,60-69,207093,47500000,31650
1000,2022,70-79,220000,56000000,41900
1000,2022,80-89,240000,57000000,43100
1000,2022,90-99,250000,62500000,46775
1000,2022,100-109,260000,68450000,50625
1000,2022,110-150,270000,78000000,59450
1100,2011,50-59,100000,17850000,14450
1100,2011,60-69,105000,16900000,15050
1100,2011,70-79,100000,22500000,17200
1100,2011,80-89,122500,22000000,16825
1100,2011,100-109,130000,26550000,20800
1100,2011,110-150,135000,35600000,24150
1100,2012,50-59,110000,17075000,14650
1100,2012,60-69,130000,18900000,16975
1100,2012,70-79,125000,21400000,17600
1100,2012,80-89,142500,24250000,17325
1100,2012,90-99,140000,21112000,17750
1100,2012,100-109,150000,32700000,19100
1100,2012,110-150,167500,35975000,27225
1100,2013,50-59,112500,17400000,15250
1100,2013,60-69,130000,19500000,18050
1100,2013,70-79,145000,22800000,20250
1100,2013,80-89,145000,20136000,20300
1100,2013,100-109,165000,30100000,25900
1100,2013,110-150,150213,35500000,27350
1100,2014,50-59,120000,22050000,16500
1100,2014,70-79,157500,24100000,19625
1100,2014,80-89,165000,30100000,22275
1100,2014,90-99,146500,30250000,21075
1100,2014,100-109,165000,36000000,27200
1100,2014,110-150,190000,44250000,24600
1100,2015,50-59,119394.5,23200000,18150
1100,2015,60-69,160000,25500000,19650
1100,2015,70-79,150000,27400000,24800
1100,2015,80-89,178000,31850000,26750
1100,2015,90-99,154500,36500000,23150
1100,2015,100-109,200000,36500000,31600
1100,2015,110-150,200000,42500000,34500
1100,2016,50-59,139000,28900000,19500
1100,2016,60-69,141000,30900000,24700
1100,2016,70-79,175000,39700000,22175
1100,2016,80-89,160000,36750000,29825
1100,2016,90-99,180000,28500000,27950
1100,2016,100-109,217500,39200000,33300
1100,2016,110-150,167500,56000000,37550
1100,2017,50-59,150000,38150000,14005
1100,2017,60-69,170000,33000000,25000
1100,2017,70-79,210000,31881000,26225
1100,2017,80-89,222000,40900000,27850
1100,2017,90-99,197500,52000000,38400
1100,2017,100-109,235000,48000000,37300
1100,2017,110-150,222500,58550000,43600
1100,2018,50-59,150000,31500000,27000
1100,2018,60-69,175000,34500000,31925
1100,2018,70-79,225000,38500000,34300
1100,2018,80-89,223000,45400000,39300
1100,2018,90-99,235000,49150000,32625
1100,2018,100-109,250000,47500000,42650
1100,2018,110-150,230000,58750000,48325
1100,2019,50-59,175000,34300000,30450
1100,2019,60-69,181000,37100000,32400
1100,2019,70-79,210000,39900000,36200
1100,2019,80-89,260000,45000000,40650
1100,2019,90-99,227500,45300000,42250
1100,2019,100-109,280000,48900000,45050
1100,2019,110-150,272500,55750000,54825
1100,2020,50-59,170000,31800000,29175
1100,2020,60-69,175000,37700000,35100
1100,2020,70-79,210000,40800000,39525
1100,2020,80-89,235000,45900000,43725
1100,2020,90-99,220000,50750000,44225
1100,2020,100-109,270000,47750000,47425
1100,2020,110-150,230000,62000000,55050
1100,2021,50-59,170000,38700000,31200
1100,2021,60-69,180000,41950000,35725
1100,2021,70-79,215000,48000000,40250
1100,2021,80-89,232500,48900000,43750
1100,2021,90-99,267500,56000000,49050
1100,2021,100-109,260000,52000000,46500
1100,2022,50-59,205000,43500000,35000
1100,2022,60-69,220000,49750000,38950
1100,2022,70-79,210000,53000000,39900
1100,2022,80-89,185000,57600000,48850
1100,2022,100-109,295000,66900000,57250
1300,2011,50-59,92071,16275000,12625
1300,2011,70-79,96000,17500000,14950
1300,2011,80-89,105000,21450000,16825
1300,2011,90-99,135000,21300000,18700
1300,2011,100-109,122593.5,27500000,23450
1300,2011,110-150,140000,30500000,26825
1300,2012,60-69,102026.5,17625000,16475
1300,2012,70-79,105000,21000000,17325
